id,chapter,question,option_a,option_b,option_c,option_d,correct_option,explanation
Q14-1,Chapitre 14,"Il y a un an, le rendement de l'obligation à un an était de 4 %, tandis que le rendement de l'obligation à trente ans était de 8 %. Aujourd'hui, le rendement du billet à un an est passé à 5 %, tandis que celui de l'obligation à dix ans est tombé à 6,5 %. Vous concluriez...","que la courbe des taux s'incline, ce qui est favorable aux marchés des actions.","que la courbe des rendements est inversée, ce qui est défavorable aux marchés des actions.",le marché obligataire est confus et l'économie devrait se contracter fortement à court terme.,le marché obligataire est confus mais l'économie devrait connaître une hypercroissance à long terme.,A,
Q14-2,Chapitre 14,Les trois grandes catégories d'industries sont...,"croissance, maturité et déclin.","cycliques, défensives et spéculatives.","faible technologie, valeur sûre et haute technologie.","les entreprises de premier ordre, les entreprises de premier ordre et les entreprises spéculatives.",B,
Q14-3,Chapitre 14,Une entreprise automobile comme General Motors est un exemple d'entreprise (n)....,d'une entreprise défensive.,entreprise industrielle cyclique.,entreprise cyclique de consommation.,une entreprise cyclique de produits de base.,C,
Q14-4,Chapitre 14,Lequel des énoncés suivants illustre le mieux la principale différence entre l'analyse fondamentale et l'analyse technique ?,"L'analyste fondamental étudie les causes des mouvements de prix, tandis que l'analyste technique étudie les effets des mouvements de prix.","L'analyste fondamental étudie les effets des mouvements de prix, tandis que l'analyste technique étudie les causes des mouvements de prix.","L'analyste fondamental pense que les marchés sont guidés uniquement par la pensée rationnelle, tandis que l'analyste technique pense que les marchés sont guidés uniquement par l'émotion.","L'analyste fondamental pense que les marchés sont guidés uniquement par la pensée rationnelle, tandis que l'analyste technique pense que les marchés sont guidés à la fois par la pensée rationnelle et par l'émotion.",A,
Q14-5,Chapitre 14,Les niveaux de soutien sont établis lorsque...,la demande dépasse l'offre et les prix commencent à baisser.,la demande dépasse l'offre et les prix commencent à augmenter.,l'offre dépasse la demande et les prix commencent à baisser.,l'offre dépasse la demande et les prix commencent à augmenter.,B,
Q14-6,Chapitre 14,"Vous disposez des informations suivantes concernant les clôtures hebdomadaires d'un titre particulier : Première semaine : 20,00 Deuxième semaine : 21,25 Troisième semaine : 19,50 Quatrième semaine : 20,50 À la fin de la cinquième semaine, le titre en question clôture à 20,75 $. Sa moyenne mobile sur quatre semaines est de...",$20.31.,$20.35.,$20.40.,$20.50.,D,
Q14-7,Chapitre 14,Vous étudiez un graphique et constatez que la ligne de la moyenne mobile est en train de casser la ligne de prix journalière par le haut sur un volume important. Un analyste technique devrait probablement...,acheter le titre,vendre le titre,conserver le titre.,Les analystes techniques n'étudient pas les graphiques avant de prendre des décisions d'investissement.,B,
Q14-8,Chapitre 14,L'investisseur à contre-courant est le moins susceptible de croire que...,qu'un investisseur doit aller dans la même direction que la majorité.,qu'un investisseur doit prêter attention à ce que fait la majorité des investisseurs.,"si la grande majorité des investisseurs sont baissiers, il est raisonnable de penser que le marché ne s'effondrera pas.","si la grande majorité des investisseurs est haussière, le pouvoir d'achat n'est pas suffisant pour pousser le marché à la hausse.",A,
Q14-9,Chapitre 14,Une analyste étudie une entreprise et constate que son chiffre d'affaires a augmenté de 12 % au cours de l'année écoulée. Laquelle des explications suivantes serait la moins favorable ?,Une grève a eu lieu chez un concurrent important.,L'entreprise s'est développée sur un nouveau marché géographique.,L'entreprise s'est engagée dans une campagne de publicité et de promotion agressive.,L'entreprise a gagné des parts de marché au détriment de ses concurrents.,A,
Q14-10,Chapitre 14,La principale différence entre le ratio de fonds de roulement et le ratio de test acide est que...,le ratio de fonds de roulement est un ratio de liquidité et le ratio de test acide est un ratio d'analyse de risque.,le ratio de fonds de roulement est un ratio d'analyse de risque et le ratio de test acide est un ratio de liquidité.,"le ratio de fonds de roulement prend en compte tous les actifs à court terme par rapport aux passifs à court terme, tandis que le ratio de test d'acidité exclut les stocks.",Il n'y a pas de différence entre le ratio de fonds de roulement et le ratio des tests d'acidité.,C,
