id,chapter,question,option_a,option_b,option_c,option_d,correct_option,explanation
,1,"Vous évaluez trois prospects : (A) un couple dont la résidence principale vaut 800 000 $ et qui détient 300 000 $ en placements non enregistrés; (B) un entrepreneur ayant une participation non cotée de 1,5 M$ et 200 000 $ en liquidités; (C) une personne seule détenant 1,1 M$ en placements liquides et 100 000 $ de dettes à long terme. Lequel est considéré comme client à valeur nette élevée selon le critère d'actifs de placement ?","Le prospect B — comptabiliser la participation non cotée (1,5 M$) plus 200 000 $ en liquidités donne 1,7 M$ d'actifs.","Le prospect C — ses placements liquides nets atteignent 1 000 000 $ (1,1 M$ moins 100 000 $ de dettes).","Le prospect C — si on ne déduit pas la dette de 100 000 $, ses placements bruts de 1,1 M$ atteignent le seuil de 1 M$.","Le prospect A — additionner la résidence principale (800 000 $) et 300 000 $ de placements donne 1,1 M$ d'actifs.",B,"B est correcte. Les actifs de placement s'entendent des placements liquides nets (la résidence principale et les participations non liquides sont exclues) et il faut déduire les dettes connexes; pour C, 1 100 000 $ de placements moins 100 000 $ de dettes = 1 000 000 $, donc le seuil est atteint. C'est l'application directe de la définition de client à valeur nette élevée basée sur les actifs de placement nets.

Pourquoi A est incorrecte: La participation non cotée est exclue des actifs de placement liquides, on ne peut pas additionner 1,5 M$ non liquide. 
Pourquoi D est incorrecte: La résidence principale (800 000 $) est exclue des actifs de placement, donc on ne peut pas l'ajouter aux 300 000 $. 
Pourquoi C est incorrecte: On doit déduire la dette de 100 000 $ pour calculer les actifs de placement nets, donc 1,100,000 $ brut n'est pas retenu."
,1,"Avant de référer un client à valeur nette élevée à un spécialiste (p. ex. fiscaliste ou gestionnaire de crédit), quelle démarche réglementaire le conseiller doit-il effectuer en priorité ?",Compléter la procédure KYC/KYP et documenter l'évaluation de la convenance (diligence raisonnable sur les besoins et la situation du client).,Valider d'abord les caractéristiques et frais des produits proposés par le spécialiste pour s'assurer que la solution est compatible avec le profil du client.,Confirmer la capacité d'emprunt et effectuer une analyse de crédit approfondie avant la référence à un gestionnaire de crédit afin d'évaluer la solvabilité.,"Obtenir les déclarations fiscales et une analyse fiscale préliminaire avant de référer, pour évaluer les conséquences fiscales potentielles.",A,"A est correcte. Avant toute référence, le conseiller doit compléter la procédure KYC/KYP et documenter l'évaluation de la convenance pour s'assurer que la recommandation ou la référence correspond aux objectifs, à la tolérance au risque, à la situation financière et aux besoins du client. Cela reflète l'obligation réglementaire de connaissance du client et protège contre des références inappropriées qui pourraient nuire au client. Pourquoi D est incorrecte: Obtenir des déclarations fiscales et une analyse préliminaire saute l'étape essentielle de connaissance et de convenance que le conseiller doit documenter avant de transférer le client à un fiscaliste. Pourquoi C est incorrecte: Confirmer la capacité d'emprunt et faire une analyse de crédit sont des tâches du spécialiste et ne remplacent pas l'obligation préalable du conseiller de réaliser la KYC/KYP et l'évaluation de convenance. Pourquoi B est incorrecte: Vérifier d'abord les caractéristiques et frais des produits suppose une solution prédéfinie alors que le point de départ doit être l'évaluation KYC/KYP pour déterminer le besoin réel du client."
,1,"Quelle caractéristique distingue typiquement une maison de courtage de plein exercice, intégrée à une grande institution, dans la prestation de services aux clients à valeur nette élevée ?","Elle met l'accent sur la fourniture de conseils fiscaux transfrontaliers et de structuration offshore pour réduire l'impôt, en s'appuyant sur des équipes spécialisées en fiscalité internationale.","Elle propose une gestion discrétionnaire fortement personnalisée, axée sur l'allocation d'actifs et la gestion active, en privilégiant solutions d'investissement plutôt que la coordination de services bancaires et crédit.","Elle privilégie des stratégies de trading fréquent et des services d'exécution avancée pour optimiser les rendements à court terme des clients fortunés, en centralisant l'exécution et la recherche internes.","Elle est structurée pour offrir un large éventail de produits et de services intégrés (par exemple crédits, trésorerie et services de banque privée) destinés aux clients à valeur nette élevée.",D,"D est correcte. Les maisons de courtage de plein exercice intégrées à une grande institution offrent un guichet unique combinant produits de crédit, services de trésorerie et banque privée, ce qui permet de répondre aux besoins financiers complets et coordonnés des clients à valeur nette élevée. Ce modèle d'affaires favorise l'intégration et la personnalisation des solutions interconnectées plutôt que la simple focalisation sur un seul type de service. Pourquoi C est incorrecte: Les stratégies de trading fréquent et l'exécution avancée relèvent surtout de courtiers spécialisés et ne décrivent pas le rôle intégrateur d'une banque de plein exercice. Pourquoi A est incorrecte: Le conseil fiscal transfrontalier peut être offert, mais ce n'est pas la caractéristique distinctive principale d'une maison intégrée axée sur l'offre globale de produits bancaires et de crédit. Pourquoi B est incorrecte: Une gestion discrétionnaire personnalisée existe, mais elle met l'accent sur la gestion d'actifs plutôt que sur la coordination élargie des services bancaires et de crédit qui définit une maison de courtage de plein exercice intégrée."
,1,Un client fortuné retraité vous demande si la « banque privée » pourra lui fournir une solution d'assurance vie intégrée à son mandat de gestion de patrimoine. Quelle réponse professionnelle donnez‑vous ?,"La banque privée conseille et coordonne fréquemment des solutions d'assurance vie en complément du mandat, en les intégrant à la planification successorale et fiscale, mais le contrat reste souvent détenu séparément et administré via une filiale ou un partenaire spécialisé.","Dans certains cas, la banque privée crée et administre des fiducies qui détiennent des polices d'assurance vie pour la planification successorale; on peut donc présenter l'assurance comme intégrée à la stratégie patrimoniale sans pour autant confondre contrat et gestion discrétionnaire.","La banque privée propose une gestion intégrée du patrimoine et peut inclure des solutions d'assurance vie directement dans le mandat discrétionnaire, en regroupant gestion d'actifs, planification successorale et contrats assurantiels présentés via ses partenaires.","La banque privée offre des services fiduciaires, de planification successorale, de gestion discrétionnaire et des stratégies philanthropiques, mais les produits d'assurance ne font généralement pas partie des services offerts directement dans la prestation de banque privée.",D,"D est correcte. La banque privée fournit effectivement des services de planification successorale, de gestion discrétionnaire et des services fiduciaires, mais les contrats d'assurance vie ne font généralement pas partie intégrante du mandat discrétionnaire et sont plutôt offerts via des filiales ou partenaires et détenus/administrés séparément. Ce point souligne la limite importante testée ici : distinguer les services-conseils et de gestion patrimoniale fournis directement par la banque privée des produits d'assurance qui sont souvent distribués et gérés en dehors du mandat de gestion."
,1,"Un client à valeur nette élevée souhaite une solution de planification familiale intégrée (gestion discrétionnaire, planification successorale, services fiduciaires) et veut un interlocuteur principal capable d’accéder à des spécialistes au besoin. Quel modèle d’affaires répond le mieux à cette attente?",Un gestionnaire dédié au sein d'une banque qui délègue à partenaires externes spécialisés plutôt que de s'appuyer sur une équipe interne.,"Un modèle de guichet unique avec un coordinateur externe qui orchestre des spécialistes sous contrat, sans équipe interne dédiée.",Le modèle entièrement intégré (gestion privée de patrimoine/banque privée) offrant une équipe multidisciplinaire coordonnée.,"Un réseau multi-boutique offrant un interlocuteur principal qui oriente vers des spécialistes affiliés, plutôt qu'une équipe coordonnée en interne.",C,"C est correcte. Un modèle entièrement intégré (gestion privée/banque privée) fournit un interlocuteur principal appuyé par une équipe multidisciplinaire interne coordonnée en gestion discrétionnaire, planification successorale et services fiduciaires, garantissant accès direct aux spécialistes et responsabilité centralisée. Cela illustre le concept des canaux de distribution intégrés, où la coordination d'équipe interne optimise la gouvernance, la confidentialité et la réactivité pour un client à valeur nette élevée. Pourquoi B est incorrecte: Un coordinateur externe sans équipe interne dédiée repose sur spécialistes sous contrat, offrant moins d'intégration et de responsabilité centralisée. Pourquoi A est incorrecte: Un gestionnaire qui délègue surtout à partenaires externes n'assure pas la même coordination interne ni l'accès immédiat à spécialistes intégrés. Pourquoi D est incorrecte: Un réseau multi-boutique oriente vers spécialistes affiliés mais manque d'une équipe interne coordonnée et d'une responsabilité client unifiée."
,1,Une firme réserve ses comptes à gestion distincte pour les clients dont l’actif investi dépasse généralement 1–5 millions de dollars. À quel type de fournisseur ce critère d’accès est‑il le plus typique?,Les firmes monogames de gestion privée de portefeuille.,Gestionnaires d'actifs institutionnels avec seuils élevés.,Courtiers privés offrant comptes à gestion séparée.,Banques privées offrant des services de gestion discrétionnaire.,A,"A est correcte. Les firmes monogames se spécialisent dans la gestion discrétionnaire pour clients fortunés et imposent souvent des seuils d’admissibilité élevés (1–5 M$) pour des comptes à gestion distincte. Ce critère reflète leur modèle centré sur un petit nombre de clients patrimoniaux et la personnalisation des mandats, contrairement aux fournisseurs de masse ou institutionnels."
,1,Vous êtes conseiller dans une maison de courtage traditionnel qui souhaite attirer la clientèle à valeur nette élevée. Quelle stratégie opérationnelle décrite est la plus cohérente pour concentrer les ressources sur ces clients?,Éliminer ou réduire les comptes à faibles soldes via la tarification et concentrer les efforts sur les clients détenant d’importants actifs de placement.,"Développer produits exclusifs (fonds privés, investissements alternatifs) et les promouvoir auprès de tous clients pour attirer titulaires d’actifs élevés.","Augmenter les frais de tenue pour petits comptes et réaffecter les conseillers vers portefeuilles à fort encours, tout en maintenant les comptes faibles en ligne.",Externaliser la gestion des petits comptes vers une plateforme numérique standard et consacrer les conseillers aux clients fortunés en conservant la tarification actuelle.,A,"A est correcte. En éliminant ou en décourageant les comptes à faibles soldes par la tarification, la maison libère temps et coûts de maintien pour réaffecter conseillers et ressources aux clients détenant d’importants actifs, qui offrent une rentabilité et des besoins de service supérieurs. Cette approche opérationnelle correspond précisément à la stratégie de concentration sur la clientèle à valeur nette élevée, en alignant coûts de service, allocation des conseillers et objectifs de marge. Pourquoi C est incorrecte: Maintenir les petits comptes en ligne malgré des frais plus élevés laisse le fardeau opérationnel et limite la réallocation effective des ressources. Pourquoi B est incorrecte: Promouvoir des produits exclusifs à tous dilue le ciblage opérationnel et ne garantit pas la concentration des ressources sur clients fortunés. Pourquoi D est incorrecte: Externaliser réduit les coûts de service mais conserver la tarification actuelle ne décourage pas ni ne réduit activement les comptes peu rentables, donc n'assure pas la réaffectation ciblée des ressources."
,1,"Un client baby‑boomer de 68 ans, dont l'hypothèque est remboursée et qui dispose d'un portefeuille liquide important, vous dit vouloir « utiliser son patrimoine pour donner du sens à sa retraite » plutôt que d'accumuler davantage. Quelle devrait être la recommandation principale du conseiller ?","Recommander de convertir la majeure partie du portefeuille en rentes immédiates pour garantir un revenu stable et financer legs et philanthropie, en supposant que la sécurité de revenu prime sur flexibilité et liquidité.","Élaborer un plan de revenu et de décaissement personnalisé qui aligne la stratégie de placement sur les objectifs de vie du client (dépenses, legs, philanthropie) tout en maintenant liquidité et profil de risque appropriés.","Proposer de donner immédiatement la majorité des actifs appréciés par le biais d'un fonds conseillé ou de dons en nature pour optimiser l'efficience fiscale et accélérer la philanthropie, sans d'abord modéliser l'impact sur le revenu retirable.","Conseiller des retraits substantiels dès maintenant pour financer donations et projets personnels, en supposant qu'un décaissement rapide réduira les impôts futurs et n'affectera pas la résilience du portefeuille face à l'espérance de vie.",B,"B est correcte. Élaborer un plan de revenu et de décaissement personnalisé permet d'aligner la stratégie de placement sur les objectifs de vie du client (dépenses, legs, philanthropie) tout en maintenant la liquidité et le profil de risque nécessaires pour gérer la longévité et les chocs de marché. C'est l'application du passage de l'accumulation au décaissement : on doit modéliser l'impact des dons et des retraits sur le revenu durable avant de prendre des décisions irréversibles. Pourquoi A est incorrecte: La conversion massive en rentes immédiates sacrifie flexibilité et liquidité et peut mal aligner le financement de legs/philanthropie sans évaluer d'abord les besoins. Pourquoi C est incorrecte: Donner immédiatement la majorité des actifs sans modéliser l'impact sur le revenu risque d'épuiser les ressources nécessaires à la retraite et d'entraîner des inefficiences fiscales. Pourquoi D est incorrecte: Des retraits substantiels immédiats peuvent compromettre la résilience du portefeuille face à l'espérance de vie et aux chocs de marché et ne garantissent pas de meilleur résultat fiscal."
,1,"Un client vous demande d'organiser une réunion familiale pour discuter de sa planification successorale et veut que ses enfants aient accès à ses relevés et recommandations. Avant de partager des renseignements personnels, que devez‑vous faire ?","Fournir aux enfants un résumé des recommandations et des extraits anonymisés des relevés, après vérification d'identité et en recommandant qu'ils consultent un conseiller indépendant pour juger de la convenance.","Obtenir le consentement explicite du client pour toute divulgation, documenter cette autorisation et mettre à jour le dossier KYC/KYP; évaluer la convenance des recommandations pour chaque participant.","Demander aux héritiers présents de signer une autorisation lors de la réunion pour recevoir les relevés et recommandations, consigner cette signature et transmettre les documents après vérification d'identité.","Obtenir le consentement verbal du client lors de la réunion, prendre une note dans le dossier, vérifier l'identité des participants et partager les relevés et recommandations pour favoriser la transparence familiale.",B,"B est correcte. Il faut obtenir le consentement explicite du client, documenter cette autorisation et mettre à jour le dossier KYC/KYP avant de divulguer des renseignements personnels, et évaluer la convenance des recommandations pour chaque participant afin de s'assurer qu'elles sont appropriées pour eux. Cela protège la confidentialité du client et respecte les obligations de connaissance du client et d'évaluation de la convenance avant tout partage d'information. Pourquoi D est incorrecte: Le consentement verbal et une simple note ne remplacent pas une autorisation explicite et documentée ni l'évaluation préalable de convenance. Pourquoi C est incorrecte: Faire signer les héritiers sur place ne substitue pas l'autorisation explicite du client ni la mise à jour et vérification KYC/KYP requises. Pourquoi A est incorrecte: Les résumés anonymisés n'évitent pas l'obligation d'obtenir le consentement explicite et d'évaluer la convenance avant toute divulgation."
,1,Quelle est la caractéristique la plus typique qui distingue la génération du millénaire de la génération des baby‑boomers en matière d'épargne et de placement ?,"Les milléniaux sont généralement plus réfractaires au risque, privilégient des placements plus prudents souvent alignés sur des critères sociaux/environnementaux et doivent épargner davantage par eux‑mêmes en l'absence fréquente de régimes à prestations déterminées, contrairement aux baby‑boomers qui ont eu plus de temps pour accumuler et rembourser leurs dettes.","Les milléniaux, bénéficiant d'un horizon de placement plus long et d'une familiarité technologique, privilégient généralement des placements plus risqués comme start‑ups et cryptomonnaies via comptes non enregistrés, misant sur une plus forte capitalisation à long terme plutôt que sur la sécurité des baby‑boomers.","Les milléniaux privilégient d'abord le CELI pour sa flexibilité et les retraits libres d'impôt, déployant une stratégie axée sur liquidités et placements à court terme; cette approche confond toutefois l'optimisation fiscale à long terme pour la retraite avec la gestion de la trésorerie immédiate, contrairement aux baby‑boomers.","Les milléniaux privilégient massivement les fonds indiciels et les solutions à bas frais pour compenser revenus plus faibles, comptant sur l'effet de capitalisation et les comptes à cotisations définies; cette hypothèse surestime cependant l'accès à la sécurité d'employeur et minimise l'impact des interruptions d'emploi.",A,"A est correcte. Les milléniaux ont en moyenne moins d'accès aux régimes à prestations déterminées, plus d'instabilité d'emploi et des niveaux d'endettement qui les obligent à épargner davantage par eux‑mêmes et à privilégier souvent des placements prudents ou alignés sur des critères sociaux/environnementaux. Les baby‑boomers ont bénéficié d'un horizon d'accumulation plus long et de régimes de retraite plus généreux, ce qui a influencé une capacité et une tolérance au risque différentes. Cela illustre comment les régimes de retraite et l'expérience d'emploi façonnent la tolérance au risque et les stratégies d'épargne (concept testé)."
