ActivityType,Module,Instructions,Question,CorrectAnswer1,CorrectAnswer2,CorrectAnswer3
SHORT_ANSWER,Module 1,,Comment appelle-t-on une institution qui emprunte des fonds à des fournisseurs de capitaux et les prête aux utilisateurs de capitaux? ,Un intermédiaire financier ,intermédiaire financier ,
SHORT_ANSWER,Module 1,,Dans quel marché les courtiers prennent ferme et placent des nouvelles émissions de valeurs mobilières?,Le marché primaire,marché primaire,
SHORT_ANSWER,Module 1,,Quel est le rôle d’un courtier lorsqu’il agit pour le compte d’un client sans jamais devenir propriétaire des titres? ,Mandataire ,,
SHORT_ANSWER,Module 1,,Comment s’appelle la différence entre le cours acheteur et le cours vendeur qui représente le profit brut d’un contrepartiste? ,spread ,écart ,
SHORT_ANSWER,Module 1,,Quel organisme assure la compensation et le règlement des opérations sur titres au Canada? ,CDS,Services de dépôt et de compensation ,
SHORT_ANSWER,Module 1,,Quel type de firme de courtage sert exclusivement des clients institutionnels comme les caisses de retraite ou les fonds communs de placement?,Une firme spécialisée dans les services aux institutions, firme spécialisée dans les services aux institutions,
SHORT_ANSWER,Module 1,,Comment s’appelle la barrière réglementaire qui empêche le partage d’information entre les différentes unités opérationnelles d’un groupe bancaire?,cloisonnement,,
SHORT_ANSWER,Module 1,,Quel terme décrit le processus d’échange irrévocable d’espèces contre des titres?,Le règlement ,règlement ,
SHORT_ANSWER,Module 1,,Quel type d’entreprise vend des parts au public et investit le produit dans un portefeuille diversifié de titres?,Un fonds d’investissement,,
SHORT_ANSWER,Module 1,,Quel actif numérique repose sur une chaîne de blocs et n’existe que sous forme numérique?,bitcoin,cryptoactif,
SHORT_ANSWER,Module 2,,Quelle est la seule source de capital ?,L’épargne ,épargne,
SHORT_ANSWER,Module 2,,Quel type de placement consiste à employer son épargne pour acheter une maison ou financer directement un projet ?,Le placement direct ,placement direct,
SHORT_ANSWER,Module 2,,Quels sont les trois caractéristiques essentielles des capitaux ? ,"Mobiles, sensibles à la conjoncture, et rares ","Mobiles, sensibles, rares ","Mobile, sensible à la conjoncture, rare "
SHORT_ANSWER,Module 2,,Quel type d’investisseur regroupe les caisses de retraite et organismes de placement collectif ? ,Les investisseurs institutionnels ,Investisseurs institutionnels ,
SHORT_ANSWER,Module 2,,Sur quel marché les entreprises et gouvernements vendent-ils des titres nouvellement émis (PAPE) ? ,Le marché primaire ,Marché primaire ,
SHORT_ANSWER,Module 2,,Quel terme désigne le prix le plus élevé auquel quelqu’un est prêt à acheter un titre ? ,Le cours acheteur ,Cours acheteur,
SHORT_ANSWER,Module 2,,Quel marché regroupe les réseaux de banques et de courtiers qui négocient de gré à gré sans marché centralisé ? ,Marché entre courtiers ,Marché hors cote,
SHORT_ANSWER,Module 2,,Quel type d’instrument financier représente un prêt de l’investisseur à l’émetteur ? ,Un titre à revenu fixe ,Titre à revenu fixe,
SHORT_ANSWER,Module 2,,Comment appelle-t-on un marché où les ordres d’achat et vente entrent en concurrence dans un lieu centralisé ? ,Un marché aux enchères ,Marché aux enchères ,
SHORT_ANSWER,Module 2,,Quel système affiche en temps réel les cours acheteur et vendeur pour les obligations et bons du Trésor au Canada ? ,CanPX ,,
SHORT_ANSWER,Module 3,,Quel est l’objectif principal de la réglementation dans le secteur des valeurs mobilières au Canada ?,Protéger les investisseurs,,
SHORT_ANSWER,Module 3,,"Quel organisme réglemente le secteur financier au Québec, y compris les assurances et dépôts ? ",Autorité des marchés financiers,AMF,
SHORT_ANSWER,Module 3,,Comment s’appelle l’organisation qui regroupe et coordonne les organismes de réglementation provinciaux et territoriaux ? ,Autorités canadiennes en valeurs mobilières,ACVM,
SHORT_ANSWER,Module 3,,Quel est le rôle principal du Fonds canadien de protection des investisseurs (FCPI) ?,Protéger les épargnants en cas d’insolvabilité d’un courtier membre,,
SHORT_ANSWER,Module 3,,Jusqu’à quel montant un compte général (comptant + marge + autres comptes non enregistrés) est-il couvert par le FCPI ?,1 000 000 $,1000000,1 000 000
SHORT_ANSWER,Module 3,,Quel est le plafond d’assurance-dépôts offert par la SADC pour les dépôts admissibles dans une même institution membre ?,100 000 $,100 000,100000
SHORT_ANSWER,Module 3,,Quel système est utilisé pour soumettre électroniquement les formulaires d’inscription des professionnels du secteur ?,Base de données nationale d’inscription,BDNI,
SHORT_ANSWER,Module 3,,Comment appelle-t-on la règle imposant aux conseillers de bien comprendre les produits qu’ils recommandent ?,Bien connaître son produit,,
SHORT_ANSWER,Module 3,,Quel organisme indépendant enquête sur les plaintes entre clients et institutions financières lorsque la résolution interne échoue ?,Ombudsman des services bancaires et d’investissement,OSBI,
SHORT_ANSWER,Module 3,,Comment appelle-t-on la pratique contraire à la déontologie consistant à négocier pour son propre compte avant d’exécuter l’ordre d’un client ?,Opération en avance sur le marché,,
SHORT_ANSWER,Module 4,,Quelle est la définition de l’économique ?,"Science sociale qui étudie la production, la distribution et la consommation de biens et services.",,
SHORT_ANSWER,Module 4,,"Dans une économie de marché, quelles forces déterminent le prix des biens et services ?",L’offre et la demande.,,
SHORT_ANSWER,Module 4,,Qu’est-ce que le prix d’équilibre ?,Le prix auquel la quantité demandée et la quantité offerte sont égales.,,
SHORT_ANSWER,Module 4,,Comment définit-on le produit intérieur brut (PIB) ?,La valeur marchande de l’ensemble des produits finaux et services produits dans un pays pendant une période donnée.,,
SHORT_ANSWER,Module 4,,Quelle est la principale différence entre le PIB nominal et le PIB réel ?,"Le PIB nominal inclut l’effet des variations de prix (inflation), le PIB réel exclut l’inflation.",,
SHORT_ANSWER,Module 4,,Quels sont les trois grands groupes de décideurs dans l’économie ?,"Les consommateurs, les entreprises et les gouvernements.",,
SHORT_ANSWER,Module 4,,Que représente le taux d’activité dans le marché du travail ?,La population active exprimée en pourcentage de la population en âge de travailler.,,
SHORT_ANSWER,Module 4,,Quels sont les quatre types de chômage décrits dans le chapitre ?,"Chômage conjoncturel, saisonnier, frictionnel, structurel.",,
SHORT_ANSWER,Module 4,,Que mesure l’Indice des prix à la consommation (IPC) ?,Il mesure la variation du prix moyen d’un panier de biens et services représentatif.,,
SHORT_ANSWER,Module 4,,Qu’est-ce que la balance des paiements d’un pays ?,Un état détaillé des opérations commerciales d’un pays avec le reste du monde.,,
SHORT_ANSWER,Module 5,,Quel est l’objectif principal partagé par le gouvernement du Canada et la Banque du Canada dans leurs interventions économiques ?,Créer des conditions favorables à une croissance durable à long terme.,,
SHORT_ANSWER,Module 5,,Quelle est la responsabilité principale de la politique budgétaire ?,Équilibrer les impôts et les dépenses pour influencer l’activité économique.,,
SHORT_ANSWER,Module 5,,Comment appelle-t-on la situation où les recettes du gouvernement dépassent ses dépenses ?,Un excédent budgétaire.,,
SHORT_ANSWER,Module 5,,Qu’est-ce que la dette nationale représente dans le budget fédéral ?,La somme des déficits antérieurs moins la somme des excédents antérieurs.,,
SHORT_ANSWER,Module 5,,Quel est l’effet économique appelé « éviction » lorsqu’un gouvernement emprunte massivement ?,"La réduction des capitaux disponibles pour les entreprises, ce qui fait augmenter les taux d’intérêt.",,
SHORT_ANSWER,Module 5,,Quel est le rôle principal de la Banque du Canada selon le texte ?,Favoriser le bien-être économique et financier du Canada.,,
SHORT_ANSWER,Module 5,,Quel est l’objectif de la politique monétaire en matière d’inflation ?,"Maintenir l’inflation entre 1 % et 3 %, stable, basse et prévisible.",,
SHORT_ANSWER,Module 5,,Comment s’appelle la fourchette de 50 points de base dans laquelle se situe le taux de financement à un jour ?,La fourchette opérationnelle.,,
SHORT_ANSWER,Module 5,,Comment s’appelle l’opération utilisée par la Banque du Canada pour réduire les taux d’intérêt lorsqu’ils dépassent la cible ?,Une prise en pension à un jour.,,
SHORT_ANSWER,Module 5,,Quel est le principal défi lié aux délais (retards) dans la mise en œuvre des politiques budgétaire et monétaire ?,"Le délai entre l’intervention et ses effets, qui peut réduire l’efficacité des politiques.",,
SHORT_ANSWER,Module 6,,Comment appelle-t-on un titre à revenu fixe garanti par des actifs matériels ?,Obligation,Obligation garantie par des actifs matériels,Obligation garantie
SHORT_ANSWER,Module 6,,Comment appelle-t-on un titre à revenu fixe garanti uniquement par la solvabilité générale de l’émetteur ?,Débenture,Obligation non garantie,
SHORT_ANSWER,Module 6,,Quel document juridique énonce les modalités d’une émission d’obligations ?,Acte de fiducie,"Contrat obligataire (acceptable, mais moins exact)",
SHORT_ANSWER,Module 6,,Comment s’appelle le montant que l’émetteur rembourse au porteur à l’échéance ?,Valeur nominale,Valeur au pair,Capital
SHORT_ANSWER,Module 6,,Quel est le terme désignant le revenu d’intérêt exprimé en pourcentage de la valeur nominale ?,Taux d’intérêt nominal,Taux nominal,Taux du coupon
SHORT_ANSWER,Module 6,,Comment appelle-t-on une obligation vendue à un prix inférieur à sa valeur nominale ?,Obligation à escompte,Au-dessous du pair,
SHORT_ANSWER,Module 6,,Comment appelle-t-on le temps qui reste avant la date d’échéance ?,Temps à courir jusqu’à l’échéance,Durée restante (acceptable),
SHORT_ANSWER,Module 6,,Comment appelle-t-on une obligation qui peut être remboursée avant l’échéance par l’émetteur ?,Obligation rachetable,Obligation remboursable par anticipation,
SHORT_ANSWER,Module 6,,Quel type d’obligation est créé lorsqu’un courtier sépare les coupons d’intérêt d’une obligation originale ?,Obligation à coupons détachés,Obligation coupon zéro,
SHORT_ANSWER,Module 6,,Comment appelle-t-on une obligation qui peut être convertie en actions ordinaires ?,Obligation convertible,Débenture convertible,
SHORT_ANSWER,Module 7,,Quelle méthode permet d’établir le juste prix d’une obligation ?,La valeur actualisée,Le calcul de la valeur actualisée des flux futurs,Actualisation des flux de trésorerie
